회사명,채용공고사항,링크,지역,경력,학력,월급
쓰리핸즈(3Handz),[ AI Engineer (LLM 애플리케이션 개발) ] iGaming 개발 글로벌,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50005368&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 3~12년,대졸↑,정규직
(주)미니레코드,AI 엔지니어(NLP/LLM),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49953066&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울전체,신입·경력,학력무관,정규직
주식회사 이프립,2025 신입공개채용(1) 생성AI모델(LLM/LMM/임베딩)개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50021139&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,신입,대졸↑,정규직·인턴직
(주)마이메타,AI LLM(RAG) 경력 개발자 모집 (2년차~5년차),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50072082&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 관악구,경력 2~7년,대졸↑,정규직·계약직
(주)데이터마케팅코리아,(주)데이터마케팅코리아 LLM App Backend 엔지니어링 직무 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49756408&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력3년↑,초대졸↑,정규직
삼성웰스토리(주),경력사원 채용(데이터사이언티스트),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50064114&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력,학력무관,정규직
㈜와이즈넛,[와이즈넛] 연구개발직 전문연구요원/신입/경력사원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50045878&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,신입·경력,석사↑,정규직
에스디바이오센서(주),에스디바이오센서(주) AI(알고리즘) 개발 팀장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50033572&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력10년↑,대졸↑,정규직
(주)이수시스템,이수시스템 25년 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49852402&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력,대졸↑,정규직
(주)폴리인스퍼레이션,"채용(전략기획, 캠퍼스지원, 마케팅디자인, R&D, IT, 출판)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49993945&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 송파구,신입·경력,학력무관,정규직
(주)더존비즈온,서비스 기획 및 마케팅 기획 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49704335&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력무관,학력무관,정규직
(주)더존비즈온,AI & MLOps 플랫폼  프론트엔드/백엔드 개발 채용공고,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49765893&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력무관,학력무관,정규직
㈜피앤피시큐어,[피앤피시큐어] 연구개발 부문(소프트웨어 연구 개발 직군) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49987301&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강서구,신입·경력,학력무관,정규직
펜타시스템테크놀러지㈜,시스템 접근제어 솔루션 Backend 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49878328&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 영등포구,신입·경력,대졸↑,정규직
(주)콤텍시스템,[(주) 콤텍시스템] AI & 데이터센터 기술영업 채용 (경력/신입),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50001456&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 과천시,경력무관,대졸↑,정규직
(주)멀티캠퍼스,AI서비스 시스템 개발 경력 채용 (정규직),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50035776&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력 3~9년,대졸↑,정규직
(주)제니스클라우드,Data&AI 부문 - AI 엔지니어 및 웹서비스 개발 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49792215&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력3년↑,대졸↑,정규직
엔에이치엔(주),[NHN Cloud] 데이터 보안 기술 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49784269&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력3년↑,학력무관,정규직
(주)크라우드웍스,[크라우드웍스] Pre-Sales 담당 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49853060&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력5년↑,학력무관,정규직
(주)크라우드웍스,[크라우드웍스] Pre-Sales 담당 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49853065&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력5년↑,학력무관,정규직
(주)크라우드웍스,[크라우드웍스] 금융산업내 영업 Lead 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49853041&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력7년↑,학력무관,정규직
(주)크라우드웍스,[크라우드웍스] Pre-Sales 담당 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49853067&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력5년↑,학력무관,정규직
(주)크라우드웍스,[크라우드웍스] 금융산업내 영업 Lead 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49853051&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력7년↑,학력무관,정규직
(주)크라우드웍스,[크라우드웍스] 피플팀장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49876472&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력8년↑,학력무관,정규직
(주)크라우드웍스,[크라우드웍스] 피플팀장 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49876443&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력8년↑,학력무관,정규직
(주)크라우드웍스,[크라우드웍스] 사업개발실 인턴 [일어가능자 우대],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49933063&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,신입,학력무관,인턴직
이지케어텍(주),[의료IT 1위 이지케어텍] AI 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49943198&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 중구,경력,대졸↑,정규직
(주)크라우드웍스,[크라우드웍스] 금융산업내 영업 Lead 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50054621&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력7년↑,학력무관,정규직
(주)크라우드웍스,[크라우드웍스] 글로벌 영업 대표 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50054757&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력7년↑,학력무관,정규직
(주)크라우드웍스,[크라우드웍스] 글로벌 영업 대표 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50054726&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력7년↑,학력무관,정규직
(주)크라우드웍스,[크라우드웍스] 글로벌 영업 대표 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50054807&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력7년↑,학력무관,정규직
(주)이스트소프트,AI 검색엔진 Product Owner (경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49878386&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 서초구,경력 2~10년,학력무관,정규직
(주)피씨엔,[생성형 AI] 머신러닝 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50021643&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 종로구,경력 3~10년,대졸↑,정규직
(주)스카우트,금융권/유통권 IT 솔루션 기술영업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50041267&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력5년↑,대졸↑,정규직
㈜아이엔소프트,인공지능(AI) 분야 개발자 모집합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49822185&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 영등포구,경력 3~10년,대졸↑,정규직
(주)엑셈,[코스닥상장사]AI 모델 개발자(2년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49850456&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강서구,경력2년↑,석사↑,정규직
제이씨현시스템㈜,제이씨현시스템(주) AI연구소 경력 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49864175&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 용산구,경력 1~5년,대졸↑,정규직
(주)유라클,[국내 1위 모바일 솔루션] 유라클 AI연계 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49897211&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력2년↑,대졸↑,정규직
(주)엑셈,AI 모델 개발자(2년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49928700&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강서구,경력 2~10년,석사↑,정규직
(주)헤리트,[병역특례] 데이터 분석가 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49944696&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력무관,석사↑,정규직
(주)플래티어,[그루비 SaaS 솔루션] AI 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49945372&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울전체,경력 3~7년,학력무관,정규직
(주)티사이언티픽,[티사이언티픽]AI 엔지니어(AI Research Engineer)채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50063521&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 동작구,신입·경력,대졸↑,정규직
지니언스(주),"Genians, Inc. PRODUCT MANAGER - AI TRANSFORMATION 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50077016&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,미국,경력무관,학력무관,정규직·인턴직
알서포트(주),[코스닥상장사] AI 기반 제품/서비스 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50088771&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강동구,경력3년↑,학력무관,정규직
연세대학교의료원 산학협력단,용인세브란스병원 디지털 헬스케어 및 정신의학 연구원 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49756633&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 용인시 기흥구,경력무관,대졸↑,계약직
(주)사이넷,인공지능(AI) 분야의 전문가를 모십니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49983081&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 송파구,경력10년↑,대졸↑,계약직
주식회사 대륜,[상시채용](주)대륜 AI Developer 채용(서울/부산),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49762121&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 영등포구,경력무관,대졸↑,정규직
(주)데이타솔루션,[중견기업/IT계열] 데이타솔루션 AI엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49833772&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,경력무관,학력무관,정규직
(주)딥노이드,[DX사업본부] 백엔드 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49874556&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울전체,경력 3~10년,고졸↑,정규직
(주)딥노이드,[DX사업본부] 프론트엔드 개발자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49874550&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울전체,경력 3~10년,고졸↑,정규직
(주)미르이즈,AI 응용프로그램 개발자(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49958519&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,광주 북구,신입·경력,대졸↑,정규직
테크빌교육(주),2025년 상반기 전직군 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50061355&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,서울 강남구,신입·경력,학력무관,정규직
에스케이쉴더스(주),[EQST Lab] AI 보안 연구 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50083782&location=ts&searchword=LLM&searchType=search&paid_fl=n&search_uuid=1385026d-e44f-439b-9b66-f7a767f15423,경기 성남시 분당구,경력3년↑,대졸↑,정규직
